gameID,trial type,trialNum,reason
2084-41e72d09-9c7e-41da-b926-d925b54501e0,practice,3,empty trace log
7955-21954200-59ed-4583-8e48-182d58899121,practice,1,bad trace log
7955-21954200-59ed-4583-8e48-182d58899121,practice,2,bad trace log
7955-21954200-59ed-4583-8e48-182d58899121,practice,3,bad trace log
2096-7b258598-c574-41c5-91e0-04017b003087,practice,2,empty trace log
2096-7b258598-c574-41c5-91e0-04017b003087,practice,3,empty trace log
7300-26294324-fb0d-4605-beff-26d77f614899,practice,2,bad trace log
0618-8ddfc1c9-2d14-43d0-9caa-0f71a6c1b541,practice,1,bad trace log
0618-8ddfc1c9-2d14-43d0-9caa-0f71a6c1b541,practice,3,empty trace log
2062-58787898-2571-4dbe-ada6-d5d8b01733e0,practice,1,bad trace log
0896-2fa0b747-ef31-40f0-a021-baca001ce8af,practice,3,bad trace log
1392-16c3daf1-21b1-4354-8c8a-438812dbf082,practice,1,empty trace log
8016-518182ec-dbe4-43bf-ade8-32eff7824c8e,practice,3,empty trace log
1082-571517d3-f06d-4b2c-8f94-09dd66faaecb,practice,2,bad trace log
9012-e52b00f0-0338-4309-91b6-d5f319405d5d,practice,3,empty trace log
